,name,company,year,Price,kms_driven,fuel_type,Seats,Owner_Type,Engine,Power,Mileage
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,5.0,1,998 CC,58.16 bhp,26.6 km/kg
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,5.0,1,1582 CC,126.2 bhp,19.67 kmpl
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol,7.0,1,1248 CC,88.76 bhp,20.77 kmpl
3,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel,5.0,2,1968 CC,140.8 bhp,15.2 kmpl
4,Ford Figo,Ford,2012,175000,41000,Diesel,5.0,1,1461 CC,63.1 bhp,23.08 kmpl
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,8.0,1,2755 CC,171.5 bhp,11.36 kmpl
6,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,5.0,1,1598 CC,103.6 bhp,20.54 kmpl
7,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,5.0,2,1248 CC,74 bhp,22.3 kmpl
8,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,5.0,1,1462 CC,103.25 bhp,21.56 kmpl
9,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,5.0,1,1497 CC,116.3 bhp,16.8 kmpl
10,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,5.0,1,1248 CC,74 bhp,25.2 kmpl
11,Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel,5.0,1,2179 CC,187.7 bhp,12.7 kmpl
12,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,5.0,2,2179 CC,115 bhp,0.0 kmpl
13,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,7.0,1,2477 CC,175.56 bhp,13.5 kmpl
14,Audi A8,Audi,2017,1000000,4000,Petrol,5.0,1,1498 CC,98.6 bhp,25.8 kmpl
15,Audi Q7,Audi,2014,500000,16934,Diesel,5.0,1,1248 CC,74 bhp,28.4 kmpl
16,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,5.0,1,1461 CC,83.8 bhp,20.45 kmpl
17,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol,5.0,1,2143 CC,167.62 bhp,14.84 kmpl
18,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,5.0,1,1995 CC,190 bhp,22.69 kmpl
19,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel,5.0,2,1248 CC,88.5 bhp,23.65 kmpl
20,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol,5.0,1,1984 CC,177.01 bhp,13.53 kmpl
21,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,5.0,1,1197 CC,80 bhp,18.5 kmpl
22,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,5.0,1,1598 CC,103.6 bhp,14.4 kmpl
23,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,5.0,1,1497 CC,116.3 bhp,16.8 kmpl
24,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol,5.0,1,1461 CC,63.1 bhp,23.08 kmpl
25,Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel,5.0,2,998 CC,67.1 bhp,20.92 kmpl
26,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol,5.0,1,1199 CC,88.7 bhp,17.5 kmpl
27,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,7.0,4,2494 CC,102 bhp,12.8 kmpl
28,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,5.0,1,1461 CC,108.45 bhp,19.01 kmpl
29,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,5.0,1,1798 CC,138.1 bhp,14.53 kmpl
30,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,7.0,2,2696 CC,184 bhp,11.18 kmpl
31,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,5.0,1,2698 CC,179.5 bhp,12.4 kmpl
32,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,5.0,2,1598 CC,103.5 bhp,16.09 kmpl
33,Toyota Innova 2.0,Toyota,2012,650000,82000,Diesel,5.0,2,1061 CC,64 bhp,14.0 kmpl
34,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,5.0,1,1248 CC,88.5 bhp,24.3 kmpl
35,Skoda Yeti Ambition,Skoda,2012,448000,68000,Diesel,5.0,1,1198 CC,82 bhp,18.15 kmpl
36,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel,5.0,1,2987 CC,254.8 bhp,11.74 kmpl
37,Renault Duster 110,Renault,2012,501000,38000,Diesel,5.0,1,1199 CC,73.9 bhp,22.07 kmpl
38,Renault Duster 85,Renault,2013,489999,27000,Diesel,5.0,2,796 CC,46.3 bhp,19.7 kmpl
39,Honda City 1.5,Honda,2011,280000,33000,Petrol,4.0,1,624 CC,37.5 bhp,25.4 kmpl
40,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,6.0,1,1198 CC,77 bhp,25.32 kmpl
41,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel,5.0,1,1197 CC,82.9 bhp,18.5 kmpl
42,Honda Amaze,Honda,2013,284999,46000,Diesel,5.0,1,1999 CC,149.92 bhp,14.62 kmpl
43,Honda Amaze 1.5,Honda,2015,345000,36000,Diesel,5.0,1,1798 CC,138.03 bhp,14.28 kmpl
44,Honda City,Honda,2015,499999,55000,Petrol,5.0,2,1991 CC,112.2 bhp,14.9 kmpl
45,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,7.0,1,2694 CC,163.7 bhp,11.25 kmpl
46,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,5.0,1,1120 CC,71 bhp,24.4 kmpl
47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,6.0,2,2498 CC,105 bhp,16.55 kmpl
48,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,5.0,1,1968 CC,174.33 bhp,17.11 kmpl
49,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,5.0,1,1248 CC,74 bhp,22.9 kmpl
50,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,5.0,1,1248 CC,75 bhp,17.8 kmpl
51,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,5.0,1,1248 CC,74 bhp,28.4 kmpl
52,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,5.0,3,1197 CC,82 bhp,18.9 kmpl
53,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,5.0,1,1598 CC,103.2 bhp,15.04 kmpl
54,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel,5.0,1,799 CC,53.3 bhp,25.17 kmpl
55,Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol,5.0,1,1197 CC,78.9 bhp,20.36 kmpl
56,Honda City ZX,Honda,2017,170000,15000,Diesel,5.0,1,1995 CC,147.6 bhp,13.29 kmpl
57,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol,5.0,1,998 CC,67.1 bhp,18.2 kmpl
58,Ford Figo,Ford,2012,175000,41000,Diesel,8.0,1,2393 CC,147.8 bhp,13.68 kmpl
59,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,5.0,1,1399 CC,68 bhp,20.0 kmpl
60,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,5.0,1,1796 CC,186 bhp,11.74 kmpl
61,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,5.0,2,2148 CC,170 bhp,15.8 kmpl
62,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,5.0,1,1396 CC,69 bhp,25.0 kmpl
63,Mahindra Scorpio SLE,Mahindra,2012,570000,19000,Diesel,5.0,1,1968 CC,140 bhp,16.55 kmpl
64,Volkswagen Polo Highline,Volkswagen,2014,315000,60000,Petrol,5.0,2,1497 CC,78 bhp,16.4 kmpl
65,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,5.0,1,1950 CC,194 bhp,0.0 kmpl
66,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,7.0,1,1248 CC,88.5 bhp,24.52 kmpl
67,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol,5.0,1,4806 CC,500 bhp,8.5 kmpl
68,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,7.0,1,2179 CC,140 bhp,15.1 kmpl
69,Honda City,Honda,2015,448999,54000,Petrol,5.0,1,1197 CC,78.9 bhp,16.95 kmpl
70,Mini Cooper S,Mini,2013,1891111,13000,Petrol,5.0,1,1461 CC,108.5 bhp,19.64 kmpl
71,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,5.0,2,1198 CC,86.8 bhp,16.5 kmpl
72,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,5.0,2,1968 CC,187.74 bhp,18.53 kmpl
73,Honda Amaze,Honda,2015,344999,22000,Petrol,5.0,1,1399 CC,null bhp,17.8 kmpl
74,Honda Amaze,Honda,2015,344999,22000,Petrol,8.0,3,1998 CC,132 bhp,12.4 kmpl
75,Renault Duster,Renault,2014,449999,50000,Diesel,7.0,1,2494 CC,102 bhp,12.8 kmpl
76,Mini Cooper S,Mini,2013,1891111,13500,Petrol,5.0,1,1086 CC,null bhp,0.0 kmpl
77,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,5.0,1,1248 CC,74 bhp,22.9 kmpl
78,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,5.0,1,1193 CC,88.7 bhp,17.57 kmpl
79,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,5.0,1,1198 CC,86.7 bhp,18.0 kmpl
80,Ford EcoSport,Ford,2017,489999,39000,Petrol,5.0,1,1399 CC,68 bhp,20.0 kmpl
81,Honda Brio,Honda,2012,224999,30000,Petrol,5.0,1,1248 CC,73.94 bhp,23.2 kmpl
82,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel,5.0,2,1995 CC,218 bhp,16.73 kmpl
83,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol,5.0,1,1197 CC,78.9 bhp,20.36 kmpl
84,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel,5.0,1,1197 CC,82 bhp,18.9 kmpl
85,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol,5.0,1,1086 CC,null bhp,17.0 kmpl
86,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol,5.0,1,1198 CC,86.7 bhp,17.8 kmpl
87,Honda City 1.5,Honda,2005,90000,50000,Petrol,7.0,1,2982 CC,168.5 bhp,13.0 kmpl
88,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,5.0,1,1968 CC,174.33 bhp,17.68 kmpl
89,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel,5.0,1,1498 CC,89.84 bhp,22.7 kmpl
90,BMW 3 Series,BMW,2011,600000,60500,Petrol,7.0,1,2179 CC,140 bhp,15.1 kmpl
91,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol,5.0,1,1498 CC,98.6 bhp,25.8 kmpl
92,Toyota Etios GD,Toyota,2013,350000,60000,Diesel,5.0,1,1199 CC,73.9 bhp,22.07 kmpl
93,Ford Figo Diesel,Ford,2012,210000,35000,Diesel,5.0,1,1493 CC,110 bhp,16.2 kmpl
94,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol,5.0,1,998 CC,67.1 bhp,18.9 kmpl
95,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel,5.0,1,1598 CC,103.5 bhp,15.26 kmpl
96,BMW 7 Series,BMW,2009,1600000,35000,Petrol,5.0,2,1396 CC,90 bhp,23.0 kmpl
97,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel,5.0,1,1197 CC,82.85 bhp,18.5 kmpl
98,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol,7.0,1,1198 CC,67 bhp,19.83 kmpl
99,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel,5.0,1,2967 CC,241.4 bhp,14.94 kmpl
100,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,5.0,2,1197 CC,80 bhp,17.0 kmpl
101,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol,5.0,1,796 CC,35 bhp,14.0 kmpl
102,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel,5.0,1,1197 CC,78.9 bhp,17.71 kmpl
103,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol,5.0,2,2993 CC,270.9 bhp,14.74 kmpl
104,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel,7.0,2,2179 CC,140 bhp,16.0 kmpl
105,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol,5.0,1,1582 CC,126.32 bhp,22.32 kmpl
106,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel,7.0,1,2755 CC,171.5 bhp,11.36 kmpl
107,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol,5.0,1,1196 CC,73 bhp,15.1 kmpl
108,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,4.0,1,624 CC,37.5 bhp,25.4 kmpl
109,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,5.0,1,1995 CC,190 bhp,22.69 kmpl
110,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,5.0,1,1799 CC,130 bhp,13.5 kmpl
111,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,7.0,1,2494 CC,100.6 bhp,12.99 kmpl
112,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,5.0,1,1984 CC,150 bhp,23.3 kmpl
113,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,5.0,1,1198 CC,75.94 bhp,19.15 kmpl
114,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,5.0,1,2497 CC,215 bhp,10.8 kmpl
115,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,5.0,1,1248 CC,88.5 bhp,24.3 kmpl
116,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,5.0,2,1086 CC,null bhp,17.0 kmpl
117,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel,5.0,2,2143 CC,107.3 bhp,15.0 kmpl
118,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol,5.0,1,1582 CC,126.2 bhp,22.0 kmpl
119,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel,5.0,1,998 CC,67.1 bhp,18.9 kmpl
120,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol,4.0,1,624 CC,37.48 bhp,21.9 kmpl
121,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol,8.0,1,2179 CC,120 bhp,12.05 kmpl
122,Nissan Micra XV,Nissan,2011,179000,41000,Petrol,5.0,1,1796 CC,178 bhp,11.7 kmpl
123,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol,5.0,1,998 CC,58.16 bhp,26.6 km/kg
124,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol,5.0,2,2354 CC,152 bhp,10.8 kmpl
125,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel,5.0,1,1498 CC,103.2 bhp,21.21 kmpl
126,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol,5.0,1,1373 CC,91.1 bhp,20.73 kmpl
127,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol,7.0,1,2179 CC,140 bhp,16.0 kmpl
128,Honda City 1.5,Honda,2010,285000,35000,Petrol,5.0,1,998 CC,67.1 bhp,24.07 kmpl
129,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel,2.0,1,2996 CC,362.07 bhp,19.0 kmpl
130,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol,5.0,1,1591 CC,121.3 bhp,17.0 kmpl
131,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol,5.0,2,796 CC,46.3 bhp,19.7 kmpl
132,Tata Indica V2,Tata,2006,90000,20000,Petrol,5.0,1,1995 CC,143 bhp,20.58 kmpl
133,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel,5.0,1,1799 CC,130 bhp,13.5 kmpl
134,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol,5.0,1,2143 CC,170 bhp,19.27 kmpl
135,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol,5.0,1,1498 CC,98.6 bhp,25.8 kmpl
136,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel,5.0,1,1197 CC,81.80 bhp,22.0 kmpl
137,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel,5.0,3,1086 CC,null bhp,17.0 kmpl
138,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol,7.0,1,2982 CC,171 bhp,11.5 kmpl
139,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol,5.0,1,1199 CC,76.8 bhp,18.6 kmpl
140,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel,5.0,1,1498 CC,103.52 bhp,21.14 kmpl
141,Renault Duster,Renault,2014,449999,50000,Diesel,5.0,1,1373 CC,91.1 bhp,20.73 kmpl
142,Honda Amaze,Honda,2015,344999,22000,Petrol,4.0,1,2894 CC,444 bhp,11.05 kmpl
143,Nissan Sunny,Nissan,2012,224999,45000,Petrol,5.0,1,1995 CC,190 bhp,21.76 kmpl
144,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol,5.0,1,1968 CC,174.33 bhp,17.11 kmpl
145,Renault Kwid,Renault,2016,244999,11000,Petrol,5.0,1,1248 CC,74 bhp,22.9 kmpl
146,Renault Duster,Renault,2013,399999,41000,Diesel,5.0,1,5461 CC,362.9 bhp,7.81 kmpl
147,Ford EcoSport,Ford,2017,489999,39000,Petrol,5.0,1,1498 CC,103.52 bhp,21.66 kmpl
148,Renault Duster,Renault,2014,474999,50000,Diesel,5.0,1,1968 CC,138.1 bhp,17.2 kmpl
149,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel,5.0,1,814 CC,55.2 bhp,21.1 kmpl
150,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol,5.0,1,1199 CC,73.9 bhp,22.07 kmpl
151,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol,5.0,1,1198 CC,67.06 bhp,20.63 kmpl
152,Datsun Redi GO,Datsun,2016,245000,7000,Petrol,5.0,1,1198 CC,86.8 bhp,19.4 kmpl
153,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel,5.0,1,1595 CC,120.7 bhp,14.8 kmpl
154,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel,5.0,1,1498 CC,98.6 bhp,26.0 kmpl
155,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel,7.0,1,2494 CC,100.6 bhp,12.99 kmpl
156,Toyota Etios GD,Toyota,2013,275000,24800,Petrol,5.0,1,1197 CC,81.80 bhp,20.4 kmpl
157,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel,7.0,1,2179 CC,140 bhp,15.1 kmpl
158,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol,5.0,1,1498 CC,89.84 bhp,22.7 kmpl
159,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel,7.0,1,2982 CC,168.5 bhp,13.0 kmpl
160,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel,5.0,1,1498 CC,108.5 bhp,21.5 kmpl
161,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel,5.0,2,1399 CC,68 bhp,20.0 kmpl
162,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,5.0,1,2993 CC,258 bhp,15.3 kmpl
163,Tata Indigo CS,Tata,2011,85000,11400,Diesel,5.0,1,2143 CC,167.62 bhp,19.27 kmpl
164,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol,5.0,2,1198 CC,86.8 bhp,19.4 kmpl
165,Honda City 1.5,Honda,2014,549000,39000,Petrol,5.0,1,1197 CC,78.9 bhp,20.36 kmpl
166,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel,5.0,1,2143 CC,170 bhp,17.9 kmpl
167,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol,5.0,1,1197 CC,81.86 bhp,18.9 kmpl
168,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,5.0,2,1968 CC,174.33 bhp,17.68 kmpl
169,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel,5.0,2,1598 CC,103.6 bhp,14.4 kmpl
170,Honda Brio,Honda,2012,224999,30000,Petrol,5.0,2,1998 CC,112 bhp,16.6 kmpl
171,Ford Fiesta,Ford,2011,274999,55000,Diesel,5.0,1,1396 CC,88.73 bhp,22.54 kmpl
172,Honda Amaze,Honda,2013,284999,46000,Diesel,5.0,1,1968 CC,174.33 bhp,17.68 kmpl
173,Honda City,Honda,2015,599999,30000,Diesel,5.0,1,936 CC,57.6 bhp,25.44 kmpl
174,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol,5.0,1,1798 CC,157.75 bhp,13.7 kmpl
175,Honda City,Honda,2014,544999,45000,Diesel,5.0,2,1399 CC,68 bhp,17.8 kmpl
176,Hyundai i20,Hyundai,2009,199000,31000,Petrol,5.0,1,1995 CC,190 bhp,22.48 kmpl
177,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,5.0,1,1598 CC,102.5 bhp,12.9 kmpl
178,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,5.0,1,1199 CC,73.9 bhp,22.07 kmpl
179,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,5.0,1,2143 CC,201.1 bhp,13.0 kmpl
180,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,5.0,1,1197 CC,83.1 bhp,21.4 kmpl
181,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,5.0,1,1582 CC,126.32 bhp,22.32 kmpl
182,Mini Cooper S,Mini,2013,1891111,13000,Petrol,5.0,1,1086 CC,68.05 bhp,19.81 kmpl
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol,7.0,1,1997 CC,120 bhp,15.4 kmpl
184,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol,5.0,1,2179 CC,187.7 bhp,12.7 kmpl
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol,5.0,1,1399 CC,68 bhp,20.0 kmpl
186,Honda City,Honda,2015,448999,54000,Petrol,7.0,1,1248 CC,88.50 bhp,25.47 kmpl
187,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol,,1,,,0.0 kmpl
188,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel,5.0,1,1197 CC,78.9 bhp,20.36 kmpl
189,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel,5.0,1,1498 CC,98.6 bhp,25.8 kmpl
190,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel,5.0,1,1896 CC,106 bhp,17.5 kmpl
191,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol,5.0,1,1461 CC,83.8 bhp,19.87 kmpl
192,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol,7.0,2,1493 CC,100 bhp,17.45 kmpl
193,Tata Nano Cx,Tata,2013,40000,2200,Petrol,5.0,1,1248 CC,88.5 bhp,24.3 kmpl
194,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol,5.0,1,1197 CC,81.83 bhp,18.6 kmpl
195,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol,5.0,1,1390 CC,85 bhp,14.7 kmpl
196,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol,5.0,1,1193 CC,64.1 bhp,15.64 kmpl
197,Tata Sumo Victa,Tata,2012,285000,65000,Diesel,5.0,1,1968 CC,174.33 bhp,15.73 kmpl
198,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol,5.0,1,1364 CC,67.06 bhp,23.59 kmpl
199,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol,,1,,,16.1 kmpl
200,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel,5.0,1,1595 CC,120.7 bhp,14.8 kmpl
201,Renault Scala RxL,Renault,2015,375000,25000,Diesel,5.0,1,1498 CC,98.6 bhp,27.4 kmpl
202,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,5.0,2,1582 CC,126.32 bhp,22.32 kmpl
203,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,5.0,1,1461 CC,83.8 bhp,20.46 kmpl
