,name,company,year,Price,kms_driven,fuel_type,Seats,Owner_Type,Engine,Power,Mileage
204,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,5.0,2,1591 CC,121.3 bhp,15.29 kmpl
205,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,5.0,1,998 CC,67 bhp,20.51 kmpl
206,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,5.0,1,1796 CC,186 bhp,11.74 kmpl
207,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,5.0,1,2967 CC,246.7 bhp,11.8 kmpl
208,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,5.0,2,1086 CC,68.05 bhp,19.81 kmpl
209,Force Motors Force,Force,2015,580000,3200,Diesel,5.0,1,1598 CC,103.52 bhp,14.3 kmpl
210,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,5.0,1,1798 CC,177.46 bhp,14.67 kmpl
211,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,5.0,1,1197 CC,81.86 bhp,17.19 kmpl
212,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,5.0,2,1498 CC,98.6 bhp,25.8 kmpl
213,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,5.0,2,998 CC,67.1 bhp,18.9 kmpl
214,Toyota Etios,Toyota,2011,275000,36000,Diesel,5.0,1,1461 CC,65 bhp,21.03 kmpl
215,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,5.0,1,2143 CC,167.62 bhp,19.27 kmpl
216,Honda City ZX,Honda,2008,110000,45000,Petrol,5.0,1,998 CC,67.04 bhp,22.5 kmpl
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol,5.0,2,1461 CC,108.5 bhp,19.01 kmpl
218,Honda City VX,Honda,2016,519000,52000,Diesel,5.0,1,1248 CC,null bhp,17.8 kmpl
219,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel,4.0,1,1998 CC,189.08 bhp,16.82 kmpl
220,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,,1,1498 CC,99 bhp,0.0 kmpl
221,Audi A4 1.8,Audi,2009,699000,47000,Petrol,5.0,2,1396 CC,53.5 bhp,17.2 kmpl
222,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel,5.0,2,1199 CC,76.8 bhp,18.6 kmpl
223,Land Rover Freelander,Land,2015,2100000,30000,Diesel,5.0,1,1199 CC,73.9 bhp,22.07 kmpl
224,Renault Kwid RXT,Renault,2017,340000,5000,Petrol,5.0,1,1248 CC,74 bhp,22.9 kmpl
225,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel,5.0,1,1399 CC,68.05 bhp,20.0 kmpl
226,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol,7.0,1,2755 CC,171.5 bhp,11.36 kmpl
227,Datsun GO T,Datsun,2016,245000,7000,Petrol,7.0,2,2199 CC,194.3 bhp,11.72 kmpl
228,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,5.0,1,1497 CC,117.3 bhp,17.4 kmpl
229,Tata Indigo eCS,Tata,2016,320000,175400,Diesel,5.0,1,1197 CC,81.83 bhp,18.6 kmpl
230,Honda Jazz VX,Honda,2016,450000,41000,Petrol,5.0,1,2143 CC,167.62 bhp,19.27 kmpl
231,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol,5.0,1,936 CC,57.6 bhp,25.44 kmpl
232,Honda Amaze,Honda,2013,284999,46000,Diesel,5.0,1,1396 CC,88.73 bhp,22.54 kmpl
233,Honda City,Honda,2012,399999,45000,Petrol,7.0,1,2494 CC,100.6 bhp,12.99 kmpl
234,Honda City,Honda,2015,599999,39000,Diesel,7.0,1,1248 CC,88.76 bhp,20.77 kmpl
235,Honda Amaze,Honda,2015,344999,22000,Petrol,7.0,1,2494 CC,102 bhp,12.8 kmpl
236,Audi A4 1.8,Audi,2009,699000,47000,Petrol,5.0,3,1086 CC,null bhp,17.0 kmpl
237,Force Motors Force,Force,2015,580000,3200,Diesel,5.0,1,1497 CC,117.3 bhp,17.8 kmpl
238,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,5.0,1,1995 CC,184 bhp,17.05 kmpl
239,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel,5.0,1,1120 CC,70 bhp,24.0 kmpl
240,Mini Cooper S,Mini,2013,1891111,13000,Petrol,5.0,1,1248 CC,88.5 bhp,28.09 kmpl
241,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol,5.0,1,1598 CC,103.6 bhp,20.5 kmpl
242,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,5.0,1,1493 CC,82 bhp,13.1 kmpl
243,Honda Amaze,Honda,2013,284999,46000,Diesel,5.0,2,1498 CC,103.6 bhp,19.91 kmpl
244,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol,5.0,1,1199 CC,88.7 bhp,18.7 kmpl
245,Tata Sumo Gold,Tata,2013,300000,50000,Diesel,5.0,1,1086 CC,68.05 bhp,19.81 kmpl
246,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol,5.0,1,1995 CC,183 bhp,16.38 kmpl
247,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol,7.0,1,2393 CC,147.8 bhp,13.68 kmpl
248,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol,5.0,3,796 CC,35 bhp,19.7 kmpl
249,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel,5.0,2,1197 CC,81.80 bhp,20.4 kmpl
250,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,5.0,1,1197 CC,82 bhp,18.9 kmpl
251,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,5.0,1,1248 CC,74 bhp,22.9 kmpl
252,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,5.0,1,1582 CC,126.2 bhp,22.0 kmpl
253,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,5.0,1,1086 CC,null bhp,0.0 kmpl
254,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,5.0,1,1197 CC,80 bhp,17.0 kmpl
255,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,5.0,1,2987 CC,254.79 bhp,11.57 kmpl
256,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,5.0,2,2148 CC,170 bhp,15.8 kmpl
257,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,5.0,1,1248 CC,73.94 bhp,23.2 kmpl
258,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,5.0,1,1582 CC,126.2 bhp,19.67 kmpl
259,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol,5.0,1,998 CC,66.1 bhp,19.0 kmpl
260,Mini Cooper S,Mini,2013,1891111,13500,Petrol,5.0,1,1461 CC,108.45 bhp,19.64 kmpl
261,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel,5.0,1,1248 CC,76 bhp,17.8 kmpl
262,Renault Duster 85,Renault,2013,489999,27000,Diesel,5.0,1,2993 CC,258 bhp,16.55 kmpl
263,Renault Duster 85,Renault,2014,489999,59000,Diesel,5.0,2,1197 CC,78.9 bhp,20.36 kmpl
264,Renault Duster 85,Renault,2015,549999,19000,Diesel,7.0,1,2494 CC,102 bhp,12.8 kmpl
265,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol,5.0,3,993 CC,60 bhp,17.3 kmpl
266,Renault Kwid RXT,Renault,2018,325000,15000,Petrol,5.0,1,1248 CC,74 bhp,28.4 kmpl
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol,8.0,2,2179 CC,120 bhp,12.05 kmpl
268,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol,5.0,1,1248 CC,74 bhp,22.95 kmpl
269,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,5.0,1,999 CC,123.24 bhp,18.88 kmpl
270,Renault Scala RxL,Renault,2014,349999,49000,Diesel,5.0,1,1248 CC,74 bhp,23.4 kmpl
271,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol,5.0,1,796 CC,47.3 bhp,22.74 kmpl
272,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol,5.0,1,1497 CC,118 bhp,17.0 kmpl
273,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol,7.0,1,2967 CC,241.4 bhp,12.07 kmpl
274,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,5.0,2,1896 CC,105 bhp,17.0 kmpl
275,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol,5.0,1,1591 CC,121.3 bhp,17.1 kmpl
276,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,5.0,1,1497 CC,118 bhp,16.8 kmpl
277,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol,5.0,1,1396 CC,98.6 bhp,15.0 kmpl
278,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,5.0,1,1598 CC,103.6 bhp,20.54 kmpl
279,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,5.0,1,1497 CC,117.3 bhp,17.4 kmpl
280,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol,5.0,1,1248 CC,74 bhp,22.95 kmpl
281,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,5.0,1,1995 CC,177 bhp,18.48 kmpl
282,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel,5.0,1,1061 CC,67 bhp,18.9 kmpl
283,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol,5.0,1,1199 CC,88.7 bhp,18.2 kmpl
284,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel,5.0,1,2143 CC,170 bhp,19.27 kmpl
285,Mini Cooper S,Mini,2013,1891111,13000,Petrol,5.0,1,1197 CC,78.9 bhp,20.36 kmpl
286,Mini Cooper S,Mini,2013,1891111,13000,Petrol,7.0,1,2393 CC,147.8 bhp,13.68 kmpl
287,Tata Indica V2,Tata,2008,150000,11000,Petrol,5.0,1,1968 CC,174.33 bhp,17.68 kmpl
288,Mini Cooper S,Mini,2013,1891111,13000,Petrol,7.0,2,2494 CC,100.6 bhp,12.99 kmpl
289,Tata Indigo CS,Tata,2009,72500,46000,Diesel,5.0,1,1198 CC,73.9 bhp,16.47 kmpl
290,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol,5.0,1,998 CC,67.1 bhp,20.92 kmpl
291,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel,5.0,1,1497 CC,117.3 bhp,18.0 kmpl
292,Honda Accord,Honda,2009,175000,58559,Petrol,5.0,1,1968 CC,174.33 bhp,17.68 kmpl
293,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,5.0,1,2143 CC,136 bhp,17.9 kmpl
294,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,5.0,2,1086 CC,null bhp,0.0 kmpl
295,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel,5.0,1,1248 CC,null bhp,17.8 kmpl
296,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel,5.0,1,998 CC,67.04 bhp,23.1 kmpl
297,Honda Amaze,Honda,2014,299999,37000,Petrol,5.0,1,2143 CC,201.15 bhp,17.9 kmpl
298,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol,5.0,1,2179 CC,187.7 bhp,12.7 kmpl
299,Honda City,Honda,2011,284999,55000,Petrol,5.0,1,1598 CC,103.6 bhp,20.54 kmpl
300,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel,5.0,1,796 CC,35 bhp,14.0 kmpl
301,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,5.0,1,1198 CC,86.8 bhp,18.5 kmpl
302,Honda City,Honda,2015,644999,39000,Petrol,7.0,2,2956 CC,83.1 bhp,14.07 kmpl
303,Honda Mobilio,Honda,2014,399999,44000,Petrol,5.0,1,1248 CC,75 bhp,18.0 kmpl
304,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol,5.0,1,998 CC,67.1 bhp,18.9 kmpl
305,Honda City,Honda,2014,584999,39000,Petrol,7.0,1,2179 CC,140 bhp,16.0 kmpl
306,Skoda Laura,Skoda,2012,349999,44000,Diesel,5.0,2,1396 CC,70 bhp,17.1 kmpl
307,Renault Duster,Renault,2015,449999,49000,Diesel,7.0,1,1373 CC,93.7 bhp,16.02 kmpl
308,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel,5.0,1,2354 CC,177.6 bhp,11.7 kmpl
309,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,5.0,1,1248 CC,73.9 bhp,19.3 kmpl
310,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel,5.0,1,1399 CC,68 bhp,17.8 kmpl
311,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,5.0,1,1497 CC,78 bhp,17.7 kmpl
312,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel,5.0,1,1968 CC,174.33 bhp,17.68 kmpl
313,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol,4.0,1,2993 CC,313 bhp,9.52 kmpl
314,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel,7.0,1,2967 CC,245 bhp,14.75 kmpl
315,Honda Amaze,Honda,2014,274999,35000,Petrol,5.0,1,998 CC,67.1 bhp,26.3 km/kg
316,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel,5.0,1,1396 CC,90 bhp,23.0 kmpl
317,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,5.0,3,1197 CC,78.9 bhp,16.95 kmpl
318,Skoda Laura,Skoda,2013,374999,50000,Diesel,5.0,1,1199 CC,88.7 bhp,19.0 kmpl
319,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,5.0,1,1248 CC,74 bhp,25.2 kmpl
320,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol,5.0,2,1197 CC,82.85 bhp,18.5 kmpl
321,Tata Manza Aura,Tata,2012,130000,72000,Diesel,5.0,1,1198 CC,73.9 bhp,16.47 kmpl
322,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol,5.0,1,796 CC,46.3 bhp,19.7 kmpl
323,Renault Duster 110,Renault,2012,501000,38000,Diesel,5.0,2,1794 CC,125 bhp,11.3 kmpl
324,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel,5.0,2,796 CC,46.3 bhp,19.7 kmpl
325,Audi A4 2.0,Audi,2012,1350000,40000,Diesel,5.0,1,1248 CC,88.8 bhp,21.12 kmpl
326,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol,5.0,1,796 CC,46.3 bhp,19.7 kmpl
327,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel,5.0,1,1968 CC,141 bhp,19.3 kmpl
328,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel,5.0,1,1794 CC,125 bhp,11.3 kmpl
329,Renault Scala RxL,Renault,2015,375000,25000,Diesel,5.0,1,1197 CC,81.83 bhp,18.6 kmpl
330,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,5.0,1,1248 CC,88.5 bhp,24.3 kmpl
331,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,5.0,1,1497 CC,118 bhp,17.0 kmpl
332,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,5.0,2,1248 CC,75 bhp,18.0 kmpl
333,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,5.0,1,1498 CC,98.6 bhp,25.8 kmpl
334,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol,5.0,1,814 CC,55.2 bhp,21.1 kmpl
335,Hyundai i20,Hyundai,2014,449999,23000,Petrol,5.0,2,1995 CC,190 bhp,21.76 kmpl
336,Hyundai Eon,Hyundai,2014,174999,14000,Petrol,5.0,1,1582 CC,126.32 bhp,22.32 kmpl
337,Hyundai i10,Hyundai,2012,244999,38000,Petrol,5.0,1,1248 CC,88.8 bhp,21.02 kmpl
338,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel,5.0,1,1984 CC,227 bhp,14.45 kmpl
339,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,5.0,1,998 CC,67.1 bhp,24.07 kmpl
340,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol,5.0,1,1498 CC,89.84 bhp,22.7 kmpl
341,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,5.0,2,995 CC,62 bhp,18.0 kmpl
342,Hyundai Verna,Hyundai,2014,489999,44000,Diesel,5.0,1,1999 CC,177 bhp,19.33 kmpl
343,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,5.0,3,1997 CC,141.1 bhp,13.1 kmpl
344,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel,5.0,1,1798 CC,177.46 bhp,14.67 kmpl
345,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,5.0,1,1197 CC,78.9 bhp,20.36 kmpl
346,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel,5.0,1,1248 CC,74 bhp,22.9 kmpl
347,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel,5.0,1,1461 CC,63.1 bhp,23.08 kmpl
348,Honda City 1.5,Honda,2010,240000,400000,Petrol,5.0,1,1248 CC,74 bhp,23.4 kmpl
349,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol,5.0,1,1399 CC,67 bhp,17.8 kmpl
350,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,5.0,1,993 CC,60 bhp,17.3 kmpl
351,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,5.0,1,1998 CC,192 bhp,13.8 kmpl
352,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel,5.0,1,1364 CC,67.05 bhp,23.59 kmpl
353,Tata Indigo eCS,Tata,2014,250000,40000,Diesel,5.0,1,796 CC,47.3 bhp,24.7 kmpl
354,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,5.0,2,2993 CC,235 bhp,11.0 kmpl
355,Force Motors Force,Force,2015,580000,3200,Diesel,5.0,2,2496 CC,179.5 bhp,11.07 kmpl
356,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel,5.0,1,1197 CC,82 bhp,18.9 kmpl
357,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel,5.0,1,1248 CC,88.5 bhp,24.3 kmpl
358,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol,7.0,3,2967 CC,241.4 bhp,12.07 kmpl
359,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,5.0,1,2143 CC,136 bhp,17.9 kmpl
360,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol,4.0,3,796 CC,37 bhp,16.1 kmpl
361,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,5.0,2,1461 CC,83.8 bhp,20.45 kmpl
362,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol,5.0,1,1364 CC,87.2 bhp,21.43 kmpl
363,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,5.0,1,2148 CC,170 bhp,15.8 kmpl
364,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel,5.0,2,1248 CC,73.9 bhp,21.1 kmpl
365,Honda City ZX,Honda,2008,149000,42000,Petrol,7.0,1,1497 CC,117.3 bhp,16.0 kmpl
366,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,5.0,1,1120 CC,71 bhp,24.4 kmpl
367,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel,5.0,1,2143 CC,203 bhp,14.21 kmpl
368,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel,5.0,2,1595 CC,120.7 bhp,14.8 kmpl
369,Honda City 1.5,Honda,2010,225000,70000,Petrol,5.0,1,2143 CC,204 bhp,15.0 kmpl
370,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol,5.0,1,1086 CC,null bhp,17.0 kmpl
371,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel,5.0,1,1497 CC,118 bhp,17.0 kmpl
372,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol,5.0,1,1999 CC,246.74 bhp,13.5 kmpl
373,Toyota Etios,Toyota,2011,275000,36000,Diesel,5.0,1,1198 CC,86.7 bhp,18.0 kmpl
374,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,4.0,1,1598 CC,122 bhp,18.86 kmpl
375,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel,5.0,1,2987 CC,282 bhp,13.5 kmpl
376,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel,5.0,1,814 CC,55.2 bhp,21.1 kmpl
377,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol,5.0,1,998 CC,67.04 bhp,20.51 kmpl
378,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol,5.0,1,1995 CC,181 bhp,16.07 kmpl
379,Tata Indigo LX,Tata,2016,130000,104000,Diesel,5.0,1,2179 CC,138.03 bhp,13.49 kmpl
380,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,5.0,1,1968 CC,143 bhp,20.38 kmpl
381,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol,5.0,1,2179 CC,187.7 bhp,12.7 kmpl
382,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel,7.0,2,2987 CC,224 bhp,12.0 kmpl
383,Honda City,Honda,2000,65000,80000,Petrol,5.0,1,796 CC,46.3 bhp,19.7 kmpl
384,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol,5.0,1,1061 CC,64 bhp,14.0 kmpl
385,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol,5.0,1,2179 CC,187.7 bhp,12.7 kmpl
386,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel,5.0,2,1591 CC,121.3 bhp,17.01 kmpl
387,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol,5.0,1,2993 CC,218 bhp,16.73 kmpl
388,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,5.0,1,2993 CC,270.9 bhp,14.74 kmpl
389,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol,5.0,1,1798 CC,157.75 bhp,13.7 kmpl
390,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol,5.0,1,1968 CC,174.33 bhp,15.73 kmpl
391,Honda Jazz S,Honda,2009,169999,24695,Petrol,5.0,1,2179 CC,187.7 bhp,12.7 kmpl
392,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol,5.0,1,2143 CC,170 bhp,14.84 kmpl
393,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol,7.0,1,2179 CC,120 bhp,15.4 kmpl
394,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel,5.0,1,1995 CC,190 bhp,21.76 kmpl
395,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol,5.0,2,2400 CC,215 bhp,16.0 kmpl
396,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel,5.0,1,1495 CC,94 bhp,13.2 kmpl
397,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel,5.0,1,1197 CC,81.86 bhp,17.19 kmpl
398,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol,5.0,1,2996 CC,367 bhp,11.5 kmpl
399,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol,5.0,2,814 CC,55.2 bhp,21.1 kmpl
400,Renault Duster 85,Renault,2015,715000,65000,Diesel,5.0,1,1197 CC,81.86 bhp,18.9 kmpl
401,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol,5.0,1,1493 CC,100 bhp,13.0 kmpl
402,Honda Brio V,Honda,2012,235000,33000,Petrol,5.0,1,1198 CC,73.9 bhp,16.47 kmpl
403,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel,5.0,1,1798 CC,187.74 bhp,15.26 kmpl
404,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol,5.0,1,1968 CC,null bhp,0.0 kmpl
405,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel,5.0,1,1591 CC,121.3 bhp,15.29 kmpl
406,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel,5.0,2,1796 CC,186 bhp,11.74 kmpl
407,Nissan X Trail,Nissan,2019,1200000,300,Diesel,4.0,1,1998 CC,189.08 bhp,16.82 kmpl
